Digikey Part Number,LibRef,Quantity

,Cap Semi,1
,Cap Semi,1
495-1119-ND,CAP Radial 5mm,3
311-1085-1-ND,Capacitor 10nF 0603,3
PCF1300CT-ND,CAP 2.2nF 0603,10
495-4846-1-ND,CAP 0.39uF Radial 5mm,1
PCF1550CT-ND,Capacitor 0.068uF 1913,2
PCF1552CT-ND,Capacitor 0.1uF 1913,1
495-4985-1-ND,CAP 0.22uF Radial 5mm,2
1276-1037-1-ND,CAP CER 47pF 0603,1
587-2910-1-ND,CAP CER 1uF 0805,5
399-1147-1-ND,CAP CER 1000pF 0805,2
445-7408-1-ND,CAP CER 0.22uF 0603,4
1276-1003-1-ND,CAP CER 0.1uF 0805,2
490-1439-1-ND,CAP CER 330pF 0603,4
PCE3842CT-ND,CAP ALUM 47uF SMD,4
495-1114-ND,CAP 0.68uF Radial 5mm,4
490-1652-1-ND,CAP CER 0.01uF 0805,5
399-3490-1-ND,CAP CER 0.18uF 0805,1
493-2181-1-ND,CAP ALUM 470uF SMD,1
490-11512-1-ND,CAP CER 2200pF 0603,1
490-3295-1-ND,CAP CER 0.47uF 0603,1
PCE3842CT-ND,CAP ALUM 47uF SMD,3
MBRD835LT4GOSCT-ND,MBRD835LT4G,1
SRP1270-100MCT-ND,IND 10uH 10A SMD,4
SRP1770TA-3R3MCT-ND,IND 3.3µH 28A SMD,1
,CSD16321Q5_DQH_8,1
311-10.0KHRCT-ND,RES 10K 0603,15
P1.0KBYCT-ND,RES 1K 0603,5
,RES 100K 0603,10
,RES 20K 0603,2
,RES 13K 0603,2
,RES 9K 0603,2
,RES 35K 0603,2
,RES 30K 0603,1
,RES 15K 0306,1
,RES 5.6K 0603,1
,RES 4.7K 0603,1
RNCP0805FTD10R0CT-ND,RES 10R 0805,4
541-3.32HHCT-ND,RES 3.32R 0603,4
541-1.30KHCT-ND,RES 1.3K 0603,1
541-45.3KHCT-ND,RES 45.3K 0603,1
541-41.2KHCT-ND,RES 41.2K 0603,1
541-8.45KHCT-ND,RES 8.45K 0603,1
	P100BYCT-ND,RES 100R 0603,1
541-64.9KHCT-ND,RES 64.9K 0603,1
P4.0MCT-ND,RES 0.004R 2512,1
,BC127,1
,LM2937IMP-3.3/NOPB,1
,OPA4134UA,2
296-26241-1-ND,OPA134UA/2K5,1
296-39337-1-ND,TPA3116D2,1
LM3481MM/NOPBCT-ND,LM3481,1
